table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,NSW,13164
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,Vic.,6593
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,Qld,11278
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,SA,3416
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,WA,8476
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,Tas.,797
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,NT,2842
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,ACT,430
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Number,,Total prisoners,Aust.,46998
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,NSW,12252
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,Vic.,6232
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,Qld,10200
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,SA,3132
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,WA,7574
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,Tas.,731
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,NT,2636
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,ACT,417
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Males,Aust.,43169
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,NSW,909
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,Vic.,363
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,Qld,1076
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,SA,283
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,WA,903
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,Tas.,68
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,NT,210
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,ACT,16
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Sex,,Females,Aust.,3831
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,NSW,4519
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,Vic.,915
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,Qld,4486
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,SA,890
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,WA,3767
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,Tas.,206
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,NT,2505
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,ACT,135
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Aboriginal and Torres Strait Islander,Aust.,17432
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,NSW,8607
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,Vic.,5476
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,Qld,6791
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,SA,2525
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,WA,4709
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,Tas.,548
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,NT,338
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,ACT,297
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Non-Indigenous,Aust.,29288
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,NSW,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,Vic.,207
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,Qld,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,SA,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,WA,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,Tas.,36
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,NT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,ACT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,Aust.,278
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,NSW,7411
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Vic.,4008
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Qld,6439
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,SA,1863
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,WA,5127
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Tas.,455
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,NT,1464
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,ACT,278
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Aust.,27051
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,NSW,5752
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Vic.,2588
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Qld,4784
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,SA,1546
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,WA,3324
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Tas.,343
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,NT,1377
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,ACT,138
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Aust.,19850
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,NSW,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Vic.,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Qld,55
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,SA,1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,WA,26
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Tas.,3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,NT,5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,ACT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Aust.,90
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,NSW,7463
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Vic.,3507
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Qld,7525
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,SA,1807
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,WA,4910
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Tas.,510
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,NT,2128
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,ACT,201
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Aust.,28040
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,NSW,5697
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Vic.,3093
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Qld,3754
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,SA,1605
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,WA,3568
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Tas.,286
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,NT,717
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,ACT,232
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Aust.,18959
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,NSW,39.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Vic.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Qld,37.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,SA,41
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,WA,38.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Tas.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,NT,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,ACT,38.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Aust.,38.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,NSW,37.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Vic.,38.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Qld,35.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,SA,38
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,WA,36.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Tas.,37.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,NT,35.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,ACT,31.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Aust.,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,NSW,35.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Vic.,35.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Qld,34.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,SA,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,WA,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Tas.,34.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,NT,34.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,ACT,34.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Aust.,35.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,NSW,41.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Vic.,39.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Qld,38.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,SA,42.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,WA,40.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Tas.,41.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,NT,41.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,ACT,39.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Aust.,40.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,NSW,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Vic.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Qld,36.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,SA,40.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,WA,38.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Tas.,39.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,NT,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,ACT,38
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Aust.,38.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,NSW,37.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Vic.,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Qld,35.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,SA,39.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,WA,36.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Tas.,37.2
