category,jurisdiction,financial_year,value
Within 1 month,NSW,2019-20,0.0813301282051282
Within 1 month,NSW,2020-21,0.092144452717796
Within 1 month,NSW,2021-22,0.0921327014218009
Within 1 month,NSW,2022-23,0.0748443904660695
Within 1 month,NSW,2023-24,0.0680939637228665
Within 1 month,VIC,2019-20,0.0855116514690983
Within 1 month,VIC,2020-21,0.101510177281681
Within 1 month,VIC,2021-22,0.10260989010989
Within 1 month,VIC,2022-23,0.117421233783426
Within 1 month,VIC,2023-24,0.106758196236241
Within 1 month,QLD,2019-20,0.076953125
Within 1 month,QLD,2020-21,0.0635500365230095
Within 1 month,QLD,2021-22,0.0560407569141194
Within 1 month,QLD,2022-23,0.0447284345047923
Within 1 month,QLD,2023-24,0.0417875798026698
Within 1 month,SA,2019-20,0.0198237885462555
Within 1 month,SA,2020-21,0.0260631001371742
Within 1 month,SA,2021-22,0.0234091658424003
Within 1 month,SA,2022-23,0.0205648478201261
Within 1 month,SA,2023-24,0.0204139495321803
Within 1 month,WA,2019-20,0.402163225172075
Within 1 month,WA,2020-21,0.354920958694544
Within 1 month,WA,2021-22,0.372311827956989
Within 1 month,WA,2022-23,0.310599835661463
Within 1 month,WA,2023-24,0.314465408805031
Within 1 month,TAS,2019-20,0.654943596549436
Within 1 month,TAS,2020-21,0.574886535552194
Within 1 month,TAS,2021-22,0.641918020108275
Within 1 month,TAS,2022-23,0.577211394302849
Within 1 month,TAS,2023-24,0.615942028985507
Within 1 month,NT,2019-20,1
Within 1 month,NT,2020-21,1
Within 1 month,NT,2021-22,1
Within 1 month,NT,2022-23,1
Within 1 month,NT,2023-24,1
Within 1 month,Aus Gov,2019-20,0.0423875432525952
Within 1 month,Aus Gov,2020-21,0.0355805243445693
Within 1 month,Aus Gov,2021-22,0.0402621722846442
Within 1 month,Aus Gov,2022-23,0.0614828209764919
Within 1 month,Aus Gov,2023-24,0.0885608856088561
Within 1 month,Seacare,2019-20,0.0333333333333333
Within 1 month,Seacare,2020-21,0.0217391304347826
Within 1 month,Seacare,2021-22,0.0434782608695652
Within 1 month,Seacare,2022-23,0
Within 1 month,Seacare,2023-24,0.0943396226415094
Within 1 month,AUST,2019-20,0.149327843042267
Within 1 month,AUST,2020-21,0.147428823659236
Within 1 month,AUST,2021-22,0.150540865384615
Within 1 month,AUST,2022-23,0.134908950019372
Within 1 month,AUST,2023-24,0.136096805560558
Within 3 months,NSW,2019-20,0.630608974358974
Within 3 months,NSW,2020-21,0.568875651526433
Within 3 months,NSW,2021-22,0.549763033175355
Within 3 months,NSW,2022-23,0.509184757856384
Within 3 months,NSW,2023-24,0.526018435920309
Within 3 months,VIC,2019-20,0.568895643363728
Within 3 months,VIC,2020-21,0.555219960604071
Within 3 months,VIC,2021-22,0.586401098901099
Within 3 months,VIC,2022-23,0.582737622451681
Within 3 months,VIC,2023-24,0.455438513433542
Within 3 months,QLD,2019-20,0.70703125
Within 3 months,QLD,2020-21,0.475529583637692
Within 3 months,QLD,2021-22,0.470160116448326
Within 3 months,QLD,2022-23,0.401135960241392
Within 3 months,QLD,2023-24,0.440510737086477
Within 3 months,SA,2019-20,0.138766519823789
Within 3 months,SA,2020-21,0.151348879743941
Within 3 months,SA,2021-22,0.121002307945928
Within 3 months,SA,2022-23,0.119001919385797
Within 3 months,SA,2023-24,0.184292599943295
Within 3 months,WA,2019-20,0.735988200589971
Within 3 months,WA,2020-21,0.720550739418664
Within 3 months,WA,2021-22,0.753136200716846
Within 3 months,WA,2022-23,0.735004108463435
Within 3 months,WA,2023-24,0.779481132075472
Within 3 months,TAS,2019-20,0.741207697412077
Within 3 months,TAS,2020-21,0.674735249621785
Within 3 months,TAS,2021-22,0.733952049497293
Within 3 months,TAS,2022-23,0.670164917541229
Within 3 months,TAS,2023-24,0.725845410628019
Within 3 months,NT,2019-20,1
Within 3 months,NT,2020-21,1
Within 3 months,NT,2021-22,1
Within 3 months,NT,2022-23,1
Within 3 months,NT,2023-24,1
Within 3 months,Aus Gov,2019-20,0.125432525951557
Within 3 months,Aus Gov,2020-21,0.0842696629213483
Within 3 months,Aus Gov,2021-22,0.134831460674157
Within 3 months,Aus Gov,2022-23,0.145569620253165
Within 3 months,Aus Gov,2023-24,0.202952029520295
Within 3 months,Seacare,2019-20,0.1
Within 3 months,Seacare,2020-21,0.108695652173913
Within 3 months,Seacare,2021-22,0.0434782608695652
Within 3 months,Seacare,2022-23,0
Within 3 months,Seacare,2023-24,0.132075471698113
Within 3 months,AUST,2019-20,0.565257761091599
Within 3 months,AUST,2020-21,0.514809092915471
Within 3 months,AUST,2021-22,0.512834821428572
Within 3 months,AUST,2022-23,0.483184812088338
Within 3 months,AUST,2023-24,0.477113119890518
Within 6 months,NSW,2019-20,0.878405448717949
Within 6 months,NSW,2020-21,0.844564408041698
Within 6 months,NSW,2021-22,0.818388625592417
Within 6 months,NSW,2022-23,0.77334143008957
Within 6 months,NSW,2023-24,0.809099018733274
Within 6 months,VIC,2019-20,0.770820668693009
Within 6 months,VIC,2020-21,0.721339461588969
Within 6 months,VIC,2021-22,0.789697802197802
Within 6 months,VIC,2022-23,0.769128938310829
Within 6 months,VIC,2023-24,0.779618889809445
Within 6 months,QLD,2019-20,0.9328125
Within 6 months,QLD,2020-21,0.923301680058437
Within 6 months,QLD,2021-22,0.931950509461426
Within 6 months,QLD,2022-23,0.936102236421725
Within 6 months,QLD,2023-24,0.945443993035403
Within 6 months,SA,2019-20,0.351982378854626
Within 6 months,SA,2020-21,0.386374028349337
Within 6 months,SA,2021-22,0.361028684470821
Within 6 months,SA,2022-23,0.35371538250617
Within 6 months,SA,2023-24,0.465551460164446
Within 6 months,WA,2019-20,0.853490658800394
Within 6 months,WA,2020-21,0.826109127995921
Within 6 months,WA,2021-22,0.831989247311828
Within 6 months,WA,2022-23,0.819638455217749
Within 6 months,WA,2023-24,0.845911949685535
Within 6 months,TAS,2019-20,0.853351028533511
Within 6 months,TAS,2020-21,0.807866868381241
Within 6 months,TAS,2021-22,0.836813611755607
Within 6 months,TAS,2022-23,0.802098950524738
Within 6 months,TAS,2023-24,0.83816425120773
Within 6 months,NT,2019-20,1
Within 6 months,NT,2020-21,1
Within 6 months,NT,2021-22,1
Within 6 months,NT,2022-23,1
Within 6 months,NT,2023-24,1
Within 6 months,Aus Gov,2019-20,0.211937716262976
Within 6 months,Aus Gov,2020-21,0.187265917602996
Within 6 months,Aus Gov,2021-22,0.25749063670412
Within 6 months,Aus Gov,2022-23,0.260397830018083
Within 6 months,Aus Gov,2023-24,0.308118081180812
Within 6 months,Seacare,2019-20,0.166666666666667
Within 6 months,Seacare,2020-21,0.130434782608696
Within 6 months,Seacare,2021-22,0.260869565217391
Within 6 months,Seacare,2022-23,0.166666666666667
Within 6 months,Seacare,2023-24,0.264150943396226
Within 6 months,AUST,2019-20,0.759113479471963
Within 6 months,AUST,2020-21,0.734628117413374
Within 6 months,AUST,2021-22,0.742015796703297
Within 6 months,AUST,2022-23,0.716582719876017
Within 6 months,AUST,2023-24,0.759858825224187
Within 9 months,NSW,2019-20,0.949919871794872
Within 9 months,NSW,2020-21,0.937825763216679
Within 9 months,NSW,2021-22,0.912037914691943
Within 9 months,NSW,2022-23,0.880066798238955
Within 9 months,NSW,2023-24,0.886113589057389
Within 9 months,VIC,2019-20,0.895035460992908
Within 9 months,VIC,2020-21,0.847406434668418
Within 9 months,VIC,2021-22,0.876510989010989
Within 9 months,VIC,2022-23,0.877018797987821
Within 9 months,VIC,2023-24,0.899278021067582
Within 9 months,QLD,2019-20,0.946875
Within 9 months,QLD,2020-21,0.941563184806428
Within 9 months,QLD,2021-22,0.954512372634643
Within 9 months,QLD,2022-23,0.949946751863685
Within 9 months,QLD,2023-24,0.964016250725479
Within 9 months,SA,2019-20,0.471806167400881
Within 9 months,SA,2020-21,0.537722908093278
Within 9 months,SA,2021-22,0.525222551928783
Within 9 months,SA,2022-23,0.519330956950919
Within 9 months,SA,2023-24,0.623759569038843
Within 9 months,WA,2019-20,0.932645034414946
Within 9 months,WA,2020-21,0.910759816420194
Within 9 months,WA,2021-22,0.899641577060932
Within 9 months,WA,2022-23,0.877567789646672
Within 9 months,WA,2023-24,0.906446540880503
Within 9 months,TAS,2019-20,0.944260119442601
Within 9 months,TAS,2020-21,0.90695915279879
Within 9 months,TAS,2021-22,0.919566898685228
Within 9 months,TAS,2022-23,0.914542728635682
Within 9 months,TAS,2023-24,0.926328502415459
Within 9 months,NT,2019-20,1
Within 9 months,NT,2020-21,1
Within 9 months,NT,2021-22,1
Within 9 months,NT,2022-23,1
Within 9 months,NT,2023-24,1
Within 9 months,Aus Gov,2019-20,0.347750865051903
Within 9 months,Aus Gov,2020-21,0.313670411985019
Within 9 months,Aus Gov,2021-22,0.368913857677903
Within 9 months,Aus Gov,2022-23,0.397830018083183
Within 9 months,Aus Gov,2023-24,0.457564575645757
Within 9 months,Seacare,2019-20,0.4
Within 9 months,Seacare,2020-21,0.260869565217391
Within 9 months,Seacare,2021-22,0.347826086956522
Within 9 months,Seacare,2022-23,0.333333333333333
Within 9 months,Seacare,2023-24,0.433962264150943
Within 9 months,AUST,2019-20,0.854103588874087
Within 9 months,AUST,2020-21,0.835268152725667
Within 9 months,AUST,2021-22,0.830657623626374
Within 9 months,AUST,2022-23,0.81762882603642
Within 9 months,AUST,2023-24,0.854287463535852
