application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2023/00020,,entX Limited,Polda Basin area - Offshore,2023-06-19T02:30:00Z,0,Square Kilometres,Evaporites,Unspecified,,,,,,,,,134.241675,-33.499986
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01026,,Redstone Metals Pty Ltd,Lake Maurice area approximately 170km north of Nullabor,2025-07-29T02:30:00Z,924.9,Square Kilometres,"Heavy Mineral Sands,Rare Earths,Mineral Sands",Unspecified,,,,,,,,,130.8180405,-29.581912000000003
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01166,,Mulgundawa Investments Pty Ltd,Point Paterson area - Approx 5 km SE of Pt Augusta,2026-05-14T02:30:00Z,53.72,Square Kilometres,Salt,Unspecified,,,,,,,,,137.856093,-32.590191000000004
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00035,,Typhon Minerals Pty Ltd,Anangu Pitjantjatjara Yankunytjatjara area - approx 430 km WNW of Marla,2017-02-22T01:30:00Z,988,Square Kilometres,"Palladium,Lead,Silver,Zinc,Cobalt,Platinum,Nickel,Vanadium,Gold,Copper",Unspecified,,,,,,,,,129.3930145,-26.415243500000003
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00120,,Spencer Metals Pty Ltd,Maitland area - approx 140km SSW of Whyalla,2010-05-14T02:30:00Z,835,Square Kilometres,"Uranium,Lead,Copper,Silver,Gold,Zinc",Unspecified,,,,,,,,,137.3766775,-34.315107999999995
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01151,,Hillgrove Resources Limited,64 km NW of Coober Pedy,2026-02-27T01:30:00Z,968.84,Square Kilometres,,Unspecified,,,,,,,,,134.1930065,-28.6735415
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01139,,Australian Consolidated Gold Holding Pty Ltd,64 km NW of Coober Pedy,2026-02-27T01:30:00Z,968.84,Square Kilometres,"Cobalt,Copper,Gold,Rare Earths,Uranium",Unspecified,,,,,,,,,134.1930065,-28.6735415
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01080,,Hillgrove Resources Limited,Mutooroo area approximately 60km south of Olary,2025-10-10T01:30:00Z,0,Square Kilometres,,Unspecified,,,,,,,,,140.2429765,-32.8484955
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00144,,Kelaray Pty. Limited,Harcus Area - Approx 320km WNW of Marla,1997-02-06T01:30:00Z,835,Square Kilometres,"Diamonds,Precious Metals,Base Metals",Unspecified,,,,,,,,,130.35134449999998,-26.715235999999997
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2023/00013,,entX Limited,Colton area approximately 70km west-southwest of Wudinna,2023-03-02T01:30:00Z,682,Square Kilometres,Salt,Unspecified,,,,,,,,,134.65139449999998,-33.431897000000006
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00048,,Spencer Metals Pty Ltd,Wardang area - a approx 165 km SSW of Whyalla,2010-02-28T01:30:00Z,186,Square Kilometres,"Zinc,Lead,Silver,Copper,Uranium,Gold",Unspecified,,,,,,,,,137.404963,-34.548539000000005
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00169,,Monax Alliance Pty Ltd,Anmuryinna area - Approximately 65 km NW of Marla,2013-11-05T01:30:00Z,1039,Square Kilometres,"Nickel,Gold,Copper",Unspecified,,,,,,,,,133.0763315,-26.931877
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00063,,Mithril Resources Limited,Mt Davenport Area - approx. 260 km NW of Marla,1997-01-22T01:30:00Z,1957,Square Kilometres,All Minerals,Unspecified,,,,,,,,,131.501331,-26.2235655
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01030,,Orano Mining Australia Pty Ltd,Tallaringa Area - 233km SW of Coober Pedy,2025-07-18T02:30:00Z,996.39,Square Kilometres,Uranium,Unspecified,,,,,,,,,132.7347,-30.1902305
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01203,,Silverton Minerals Pty Ltd,Bindarrah area - Approximately 35 km northeast of Olary,2026-06-19T02:30:00Z,81.37,Square Kilometres,"Precious Metals,Base Metals,Uranium",Unspecified,,,,,,,,,140.69297,-32.1401545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01220,,Lagoon Creek Resources Pty Ltd,Bindarrah area - Approximately 35 km northeast of Olary,2026-06-19T02:30:00Z,81.37,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.69297,-32.1401545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01191,,Taragon Valley Pty Limited,Bindarrah area - Approximately 35 km northeast of Olary,2026-06-19T02:30:00Z,81,Square Kilometres,"Lead,Zinc,Copper,Gold",Unspecified,,,,,,,,,140.69297,-32.1401545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01211,,Sandfire South Australia Pty Ltd (Tenement Holder),Bindarrah area - Approximately 35 km northeast of Olary,2026-06-18T02:30:00Z,81.37,Square Kilometres,,Unspecified,,,,,,,,,140.69297,-32.1401545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00061,,Mithril Resources Limited,Cartu Hill Area - Approx. 70 km SW of Marla,1997-01-22T01:30:00Z,2108,Square Kilometres,"Diamonds,Gold,Base Metals",Unspecified,,,,,,,,,133.296898,-27.838851
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00143,,Kelaray Pty. Limited,Carbeena Hill Area - Approx. 240 km WNW of Marla,1997-02-06T01:30:00Z,1040,Square Kilometres,"Precious Metals,Diamonds,Base Metals",Unspecified,,,,,,,,,131.251337,-26.806893
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01031,,Orano Mining Australia Pty Ltd,Tallaringa Area - 218km SW of Coober Pedy,2025-07-18T02:30:00Z,821.48,Square Kilometres,Uranium,Unspecified,,,,,,,,,133.00969800000001,-30.2985625
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00260,,Goldsearch Ltd,Ernabella South area - Approx 180km NW of Marla,1996-06-20T02:30:00Z,519,Square Kilometres,"Silver,Base Metals,Gold,Copper,Precious Metals",Unspecified,,,,,,,,,132.142994,-26.390217
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00168,,Monax Alliance Pty Ltd,Kulitjara area - Approximately 130 km WNW of Marla,2013-11-05T01:30:00Z,1122,Square Kilometres,"Nickel,Copper,Gold",Unspecified,,,,,,,,,132.359664,-26.990218
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2018/00068,,Typhon Minerals Pty Ltd,Echo Hill area - approx 100km NW of Marla,2018-05-09T02:30:00Z,1908,Square Kilometres,"Platinum,Zinc,Nickel,Palladium,Lead,Silver,Gold,Cobalt,Copper",Unspecified,,,,,,,,,132.67632700000001,-26.706879999999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2009/00037,,Spencer Metals Pty Ltd,Port Victoria area - approx 180km SSW of Whyalla,2009-02-02T01:30:00Z,542,Square Kilometres,"Zinc,Uranium,Silver,Copper,Gold,Lead",Unspecified,,,,,,,,,137.355459,-34.690207
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00468,,Integra Mining Ltd,Cave Hill Area - approximately 25km NW of Marla,1997-07-24T02:30:00Z,215,Square Kilometres,"Gold,Base Metals",Unspecified,,,,,,,,,131.45132949999999,-26.0402305
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01183,,Orano Mining Australia Pty Ltd,Quinyambie area approximately 385km northeast of Port Augusta,2026-06-19T02:30:00Z,923,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.3725725,-29.7137955
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00060,,Mithril Resources Limited,Kenmore Park Area - Approx. 160 km NW of Marla,1997-01-22T01:30:00Z,666,Square Kilometres,,Unspecified,,,,,,,,,132.36798950000002,-26.3735585
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01028,,Orano Mining Australia Pty Ltd,Tallaringa Area - 224km WSW of Coober Pedy,2025-07-18T02:30:00Z,974.14,Square Kilometres,Uranium,Unspecified,,,,,,,,,132.568028,-29.7318955
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00058,,Mithril Resources Limited,Mt Poodinna - 360km WSW of Marla,1997-01-22T01:30:00Z,1721,Square Kilometres,"Base Metals,Diamonds,Gold",Unspecified,,,,,,,,,129.9180255,-27.523578
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00185,,NiCul Minerals Limited,Willugudinna Hill area - Approx 50km NW of Marla,1996-05-08T02:30:00Z,823,Square Kilometres,Base & Precious Metals (m),Unspecified,,,,,,,,,133.20133049999998,-27.1735425
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01160,,Fowler Resources Pty Ltd,Mount Davies area approximately 450km west-northwest of Marla,2026-04-27T02:30:00Z,363.11,Square Kilometres,"Base Metals,Platinum,Palladium,Rhodium,Ruthenium,Osmium,Iridium",Unspecified,,,,,,,,,129.25967350000002,-26.1569085
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00056,,Mithril Resources Limited,Yelooginna Hill Area - approx. 200 km west of Marla,1997-01-22T01:30:00Z,1241,Square Kilometres,All Minerals,Unspecified,,,,,,,,,131.6430035,-27.1235565
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00021,,Typhon Minerals Pty Ltd,Hanging Knoll area - approx 350 km WNW of Marla,2017-03-16T01:30:00Z,427,Square Kilometres,"Gold,Lead,Cobalt,Nickel,Copper,Zinc,Vanadium,Silver,Platinum",Unspecified,,,,,,,,,130.293006,-26.248567
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00190,,NiCul Minerals Limited,Mount Agnes area - approx 440 km west of Marla,2015-10-22T01:30:00Z,1342,Square Kilometres,"Copper,Precious Metals,Nickel,Base Metals",Unspecified,,,,,,,,,129.4348975,-26.748581
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2016/00085,,Sandy Ridge Labs Pty Ltd,Igy Corner area - approx 205 km NW of Tarcoola,2016-06-23T02:30:00Z,358,Square Kilometres,"Potash,Evaporites,Salt",Unspecified,,,,,,,,,132.8930235,-29.531891
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00262,,Goldsearch Ltd,Marble Hill area - Approx 80km NW of Marla,1996-06-20T02:30:00Z,463,Square Kilometres,"Silver,Precious Metals,Gold,Copper,Base Metals",Unspecified,,,,,,,,,133.226318,-26.6735435
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2009/00367,,NiCul Minerals Limited,Mount Caroline area - approx 340km WNW of Marla,2009-12-04T01:30:00Z,46,Square Kilometres,"Nickel,Copper",Unspecified,,,,,,,,,130.6596715,-26.390229499999997
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01215,,Orano Mining Australia Pty Ltd,Quinyambie area approximately 400km northeast of Port Augusta,2026-06-19T02:30:00Z,965,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.79224299999998,-29.7234815
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01195,,Taragon Valley Pty Limited,Bulloo Creek area approximately 15km east-northeast of Olary,2026-06-19T02:30:00Z,29,Square Kilometres,"Copper,Gold,Lead,Zinc",Unspecified,,,,,,,,,140.501313,-32.1734855
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2024/00012,,Sherrin Resources Pty Ltd,Maralinga area approximately 270km west-southwest of Coober Pedy,2024-02-13T01:30:00Z,464,Square Kilometres,"Base & Precious Metals, Cobalt, Gold, Heavy Mineral Sands, Nickel, Palladium, Platinum, Potash, Rare Earths, Titanium, Zircon",Unspecified,,,,,,,,,132.10969949999998,-29.781902000000002
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00055,,Mithril Resources Limited,Oonmooninna Hill Area - approx. 360 km WNW of Marla,1997-01-22T01:30:00Z,595,Square Kilometres,"Base Metals,Gold,Diamonds",Unspecified,,,,,,,,,130.4430165,-27.073567
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01213,,Sandfire South Australia Pty Ltd (Tenement Holder),Wompinie area - Approximately 55 km northeast of Olary,2026-06-18T02:30:00Z,84.41,Square Kilometres,,Unspecified,,,,,,,,,140.7929675,-31.998487
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01197,,Taragon Valley Pty Limited,Wompinie area - Approximately 55 km northeast of Olary,2026-06-19T02:30:00Z,84,Square Kilometres,"Gold,Copper,Lead,Zinc",Unspecified,,,,,,,,,140.7929675,-31.998487
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01222,,Lagoon Creek Resources Pty Ltd,Wompinie area - Approximately 55 km northeast of Olary,2026-06-19T02:30:00Z,84.41,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.7929675,-31.998487
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01205,,Silverton Minerals Pty Ltd,Wompinie area - Approximately 55 km northeast of Olary,2026-06-19T02:30:00Z,84.41,Square Kilometres,"Precious Metals,Base Metals,Uranium",Unspecified,,,,,,,,,140.7929675,-31.998487
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01163,,SA1 Pty Ltd,"Mount Barry area, approximately 210 km north of Coober Pedy",2026-05-12T02:30:00Z,203.22,Square Kilometres,Coal,Unspecified,,,,,,,,,134.7179835,-27.9568685
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00297,,Integra Mining Ltd,Mount Whinham area - Approx 360 km WNW of Marla,1997-03-25T01:30:00Z,2015,Square Kilometres,"Base Metals,Gold",Unspecified,,,,,,,,,130.25133599999998,-26.0818955
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01175,,Austral Strategic Metals Pty Ltd,Oopina area approximately 90km west-northwest of Olary,2026-06-16T02:30:00Z,351.3,Square Kilometres,Gold,Unspecified,,,,,,,,,139.35965399999998,-32.231837999999996
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01179,,Exco Operations (SA) Pty Limited,Oopina area approximately 90km west-northwest of Olary,2026-06-01T02:30:00Z,351.3,Square Kilometres,"Gold,Copper",Unspecified,,,,,,,,,139.35965399999998,-32.231837999999996
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01225,,Drone Geophysics Pty Ltd,Oopina area approximately 90km west-northwest of Olary,2026-06-19T02:30:00Z,351.3,Square Kilometres,"All Minerals,Gold,Copper",Unspecified,,,,,,,,,139.35965399999998,-32.231837999999996
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00040,,Minex (Aust) Pty Ltd,Bowden Hill area - Approx 300 WNW of Marla,1997-01-14T01:30:00Z,1507,Square Kilometres,"Gold,Base Metals",Unspecified,,,,,,,,,130.7513415,-26.8485655
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01167,,Vector Minerals Pty Ltd,Port Broughton area - approximately 7km north east of Port Broughton,2026-05-29T02:30:00Z,240.84,Square Kilometres,"Copper,Gold",Unspecified,,,,,,,,,137.964962,-33.5401935
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01156,,PTR Minerals Ltd,Clare Valley,2026-03-19T01:30:00Z,786.24,Square Kilometres,"Gold,Copper",Unspecified,,,,,,,,,138.6846895,-33.9318535
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01218,,Lagoon Creek Resources Pty Ltd,Mooleulooloo area - Approximately 80 km northwest of Olary,2026-06-19T02:30:00Z,245.8,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.2763,-31.506825
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01187,,Sandfire South Australia Pty Ltd (Tenement Holder),Mooleulooloo area - Approximately 80 km northwest of Olary,2026-06-09T02:30:00Z,246,Square Kilometres,,Unspecified,,,,,,,,,140.2763,-31.506825
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01192,,FQM Exploration (Australia) Pty Ltd,Mooleulooloo area - Approximately 80 km northwest of Olary,2026-06-12T02:30:00Z,245.8,Square Kilometres,"Base Metals,Copper,Cobalt,Zinc,Silver,Lead,Gold,Precious Metals,Rare Earths",Unspecified,,,,,,,,,140.2763,-31.506825
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01198,,Litherica Resources Pty Ltd,Mooleulooloo area - Approximately 80 km northwest of Olary,2026-06-17T02:30:00Z,245.8,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.2763,-31.506825
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01206,,Silverton Minerals Pty Ltd,Mooleulooloo area - Approximately 80 km northwest of Olary,2026-06-19T02:30:00Z,245.8,Square Kilometres,"Precious Metals,Base Metals,Uranium",Unspecified,,,,,,,,,140.2763,-31.506825
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2001/00031,,Minex (Aust) Pty Ltd,Holywater area - approx 160km NW of Marla,2001-04-10T02:30:00Z,338,Square Kilometres,"Copper,Nickel",Unspecified,,,,,,,,,132.7679865,-26.165219
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00118,,NiCul Minerals Limited,Mount Harcus area - Approx 400km WNW of Marla,1996-03-19T01:30:00Z,2415,Square Kilometres,"Precious Metals,Gold,Silver,Base Metals",Unspecified,,,,,,,,,131.16801299999997,-27.2485675
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2024/00066,,Anglo American Exploration (Australia) Pty Limited,Anangu Pitjantjatjara Yankunytjatjara area approximately 40 km northeast of Mintabie,2024-08-21T02:30:00Z,382,Square Kilometres,Base Metals,Unspecified,,,,,,,,,133.606227,-27.001561000000002
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2025/000037,,Razorback Iron Pty Ltd,MPLA 4,2025-03-25T01:30:00Z,0,Hectares,,,Construction and operation of a high voltage transmission line,,,,,,,,139.4324465,-33.444423
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2025/000034,,Razorback Iron Pty Ltd,MPLA 2,2025-03-25T01:30:00Z,34.77,Hectares,,,"Construction and operation of a rail spur, hardstand and site facilitites",,,,,,,,139.2172015,-32.888279499999996
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,MPLA-01047,,Central Iron Pty Ltd,,2025-01-31T01:30:00Z,0,Hectares,,,,,,,,,,,135.678159,-30.9887185
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,MPLA-01084,,Razorback Iron Pty Ltd,Nackara Area - Approximately 35km east-northeast of Peterborough,2025-08-14T02:30:00Z,34.77,Hectares,,,"MPLA-2: Construction and operation of a rail spur, hardstand and site facilitates (the ‘rail siding’), being for: Product (iron ore concentrate) haulage, storage and transfer, Rail loading and Associated activities",,,,,,,,139.2172015,-32.888279499999996
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,MPLA-01085,,Razorback Iron Pty Ltd,Warnes Area - Approximately 40km east-northeast of Peterborough,2025-08-19T02:30:00Z,472.23,Hectares,,,"Construction and operation of a haulage and access road from Rucoich Road to the proposed Mining Lease, being for: General site access, production (iron ore concentrate), associated activities; and construction and operation of a bulk water supply pipeli",,,,,,,,139.4241735,-32.902654
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2023/000338,,BHP Olympic Dam Corporation Pty Ltd,,2025-07-18T02:30:00Z,0,Hectares,,,,,,,,,,,137.04564,-30.937343499999997
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,MPLA-01086,,Razorback Iron Pty Ltd,Warnes Area - Approximately 40km east-northeast of Peterborough,2025-08-15T02:30:00Z,667.08,Hectares,,,"Construction and operation of a high voltage transmission line between the Mining Lease and ElectraNet’s Bundey Substation, including: development of access tracks, construction and stringing of transmission towers, and temporary accommodation camp and l",,,,,,,,139.4324465,-33.444423
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,MPLA-01081,,Razorback Iron Pty Ltd,Hardy Area - Approximately 35 km east-northeast of Peterborough,2025-08-13T02:30:00Z,11.84,Hectares,,,"MPL4 of 4 - Lay Down Area - Temporary accommodation camp and lay down areas (equiipment, supplies, bulk materials and vehcile storage and use), inclduing concrete batching",,,,,,,,139.2087975,-32.9032545
mining_and_production_tenement_applications,MCA,Mineral Claim Application,2019/001449,,Stoney Pinch Sands Pty Ltd,"Old Calperum area, approx. 6 km west of Renmark",2025-09-18T02:30:00Z,21.34,Hectares,Silica Sand,,,,,,,,,,140.658626,-34.1776895
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2025/000035,,Razorback Iron Pty Ltd,MPLA 3,2025-03-25T01:30:00Z,0,Hectares,,,Construction and operation of temporary accommodation camp and construction laydown area,,,,,,,,139.2087975,-32.9032545
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2023/000341,,Adbri Concrete and Quarries SA Pty Ltd trading as Adbri Quarries SA,"Sellicks Hill area, approximately 48km south of Adelaide",2023-11-28T01:30:00Z,1.11,Hectares,,,Stockpiling of overburden and assistance with visual amenity of the site,,,,,,,,138.457435,-35.3477355
mining_and_production_tenement_applications,MPLA,Miscellaneous Purposes Licence Application,2025/000036,,Razorback Iron Pty Ltd,MPLA 1,2025-03-25T01:30:00Z,0,Hectares,,,Construction and operation of a haulage and access road,,,,,,,,139.4241735,-32.902654
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2020/0161,Carriewerloo Sand Pit,Clay & Mineral Sales Pty Ltd,,2025-07-18T02:30:00Z,,,"Clay
Sand",,,,,,,Assessment,,,137.28668299999998,-32.4184025
mining_and_production_lease_applications,EML,Mining Lease (formerly Extractive Minerals Lease; merged into Mining Lease from 1 Jan 2021),M2023/0041,Blundy's Pit,[individual holder - name withheld for privacy],,2022-12-19T01:30:00Z,,,Sand,,,,,,,,,,140.6802185,-34.1580365
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2025/0081,Gericke's Pit,K.D. and H.M. Gericke Proprietary Limited,,2025-05-07T02:30:00Z,,,Limestone,,,,,,,,,,140.333348,-36.0147755
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2011/0227,Glenelg Dolomite Quarry,[individual holder - name withheld for privacy],,2003-12-05T01:30:00Z,,,Gypsum,,,,,,,,,,137.1780245,-31.427062499999998
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01096,PROD test 2,DEM - Regulation and Compliance,,2025-10-22T01:30:00Z,,,,,,,,,,,,,133.9787375,-32.062360999999996
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01038,Hawks Nest Project,Central Iron Pty Ltd,,2025-01-31T01:30:00Z,,,"Magnetite, Hematite",,,,,,Y,Assessment - Notification of Conditions,,,135.115083,-30.0237455
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2011/0209,Deep Well,Kalkaroo Copper Pty Ltd,,2025-07-17T02:30:00Z,,,Siltstone,,,,,,,Assessment,,,140.520004,-31.8167145
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01095,PROD test,DEM - Regulation and Compliance,,2025-10-21T01:30:00Z,,,"Siltstone,Alunite,Andalusite,Barite,Bentonite",,,,,,Y,Assessment - Peer Review,,,133.9787375,-32.062360999999996
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2011/0228,Johnsons Quarry,"Rat Excavations Pty Ltd
Matthews, Stephen Peter",,2025-07-18T02:30:00Z,,,Limestone,,,,,,,Assessment,,,139.98101400000002,-37.155548499999995
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2011/0142,Pure Gypsum Quarry,Maldorky Iron Pty Ltd,,2011-08-06T02:30:00Z,,,"Contained Copper, Contained Lead, Contained Zinc, Gold, Iron Ore - Hematite DSO, Iron Ore - Magnetite DSO, Molybdenum, Silver, Uranium Oxide",,,,,,,,,,140.634622,-32.4166785
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01061,Compton Quarry,G T Bobcat Pty Ltd,,2025-07-18T02:30:00Z,,,"Dolomite, Limestone, Agricultural Lime",,,,,,,Assessment,,,140.685177,-37.838431
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01083,Razorback Iron Ore Project,Razorback Iron Pty Ltd,,2025-08-19T02:30:00Z,,,"Iron Ore - Magnetite,Iron Ore - Hematite,Gold,Sand,Gravel (Natural),Shale,Clay",,,,,,Y,Assessment,,,139.70548150000002,-32.920416
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),M2014/0101,Maldorky Project,Maldorky Iron Pty Ltd,,2025-07-17T02:30:00Z,,,Iron,,,,,,,Assessment,,,140.638259,-32.406040000000004
mining_and_production_lease_applications,ML,Mining Lease (formerly Mineral Lease),MLA-01145,Elephant Lake Gypsum Mine,Meningie Gypsum Pty Ltd,,2026-06-16T02:30:00Z,,,,,,,,,Y,Assessment,,MC 4582,139.4676505,-35.637458
