Independent Commissioner Against Corruption and Office for Public Integrity ,,,,,,,,,,,,,,,
Executive employment in the agency ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,2020-21,,2019-20,,2018-19,,2017-18,,2016-17,,2015-16 8,2014-15 8,2013-14 9
Executive classification ,,,Number of executives as at 30 June 2020,Number of executives based on actual remuneration,Number of executives as at 30 June 2020,Number of executives based on actual remuneration,Number of executives as at 30 June 2019 ,Number of executives based on actual remuneration,Number of executives as at 30 June 2018 ,Number of executives based on actual remuneration,Number of executives as at 30 June 2017 ,Number of executives based on actual remuneration,Number of executives as at 30 June 2016,Number of executives as at 30 June 2015,Number of executives as at 30 June 2014
CONAGD ,,,2,3,2 1,2,2 1,2,1 7,1,1 7,2,2,3,-
SAES2,,,-,-,-,-,-,-,1,1,1,1,-,-,-
SAES1,,,4,4,4 2,3,3,3,2,2,1,0,1,-,-
INV4,,,1,1,1 3,1,1,1,1,1,1,1,1,1,-
INV3,,,2,2,3 4,3,3,3,3,2,3,2,1,1,-
INV2,,,1,1,0 5,1,-,-,-,-,-,-,-,-,-
LEC5,,,-,-,2 6,2,2,1,2,1,1,1,-,1,-
MAS3,,,-,-,-,-,1,1,1,1,1,1,-,-,-
AS08,,,1,1,-,-,0,1,-,-,1,0,-,-,-
ASO7,,,-,-,-,-,-,-,0,1,-,-,-,-,-
Total,,,11,12,12,12,12,12,11,10,10,8,5,6,5
"1 While the Commissioner and the Deputy Commissioner have been included in the above tally, they are not employees of the ICAC.",,,,,,,,,,,,,,,
"˛ Director OPI, Director Corporate Services, Director Prevention and Communications, and Director Legal Services.",,,,,,,,,,,,,,,
3 Director Investigations.,,,,,,,,,,,,,,,
4 Investigations Team Leaders. ,,,,,,,,,,,,,,,
5 Senior Investigator. The receipt of a lump sum payment for long service leave increased actual remuneration to the executive classification. ,,,,,,,,,,,,,,,
6 Senior Legal Officers. ,,,,,,,,,,,,,,,
"7 While the Commissioner has been included in the above tally, he is not an employee of the ICAC. ",,,,,,,,,,,,,,,
8 Reporting in 2014-15 and 2015-16 did not provide information on the 'Number of executives based on actual remuneration' or additional notes. ,,,,,,,,,,,,,,,
9 In 2013-14 the number of executives was reported as three males and two females. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2020-21 Executive classification is based on a total remuneration package value in excess of $154,000 per annum",,,,,,,,,,,,,,,
"2019-20 Executive classification is based on a total remuneration package value in excess of $154,000 per annum",,,,,,,,,,,,,,,
"2018-19 Executive classification is based on a total value of salary package in excess of $151,000 per annum. ",,,,,,,,,,,,,,,
"2017-18 Executive classification is based on a total value of salary package in excess of $149,000 per annum.",,,,,,,,,,,,,,,
"2016-17 Executive classification is based on a total value of salary package in excess of $147,000 per annum.",,,,,,,,,,,,,,,
